age,job_level,tenure_years,salary_usd,salary_vs_market_pct,rto_mandate,days_in_office_required,commute_minutes,prefers_remote,flexibility_importance,ai_tools_adoption,weekly_hours,after_hours_work,burnout_score,manager_relationship_score,manager_1on1_per_month,engagement_score,promotions_last_2y,career_growth_score,recent_layoff_round,team_size,attrition,gender_Male,gender_Other,department_Data,department_Engineering,department_Finance,department_HR,department_Marketing,department_Operations,department_Product,department_Sales,work_arrangement_onsite,work_arrangement_remote
26,0,5.5,70000,5.2,0,4,44,1,3,2,49,0,3.6,2,0,62,0,2,0,22,0,False,False,False,False,False,False,True,False,False,False,True,False
35,0,0.5,64000,-15.5,0,5,48,1,2,1,44,0,4.8,3,2,79,1,2,0,24,0,False,False,False,False,False,False,False,False,False,True,True,False
23,2,2.0,142000,-15.9,1,3,35,1,3,2,32,0,10.0,1,2,43,0,4,1,3,1,True,False,False,False,False,True,False,False,False,False,False,False
20,4,2.2,147000,2.6,0,5,16,0,5,0,51,1,4.3,1,4,64,1,3,0,24,0,False,False,False,False,False,False,False,False,False,True,True,False
40,2,6.0,141000,11.3,1,4,55,1,4,2,52,0,2.9,1,1,92,0,2,0,5,0,False,False,True,False,False,False,False,False,False,False,False,False
30,1,1.7,100000,11.8,1,0,118,1,3,2,50,0,4.8,1,1,60,0,3,0,4,1,True,False,False,False,False,False,False,False,False,True,False,True
45,3,7.0,115000,-20.4,1,5,45,0,5,1,47,0,6.4,2,1,78,0,1,0,12,1,False,False,False,False,False,False,True,False,False,False,False,False
37,1,1.7,73000,2.2,0,4,7,0,2,3,43,0,3.4,2,2,76,0,5,1,17,0,False,False,False,False,False,False,True,False,False,False,True,False
20,1,1.3,95000,-1.7,0,3,6,0,1,1,49,0,6.5,4,0,69,0,1,1,7,0,True,False,False,True,False,False,False,False,False,False,False,False
30,1,2.6,72000,-7.8,1,3,33,0,5,1,43,0,1.6,1,2,77,1,2,1,5,0,False,False,False,False,False,True,False,False,False,False,False,False
24,2,2.0,125000,12.1,1,0,38,1,1,2,38,1,5.7,2,1,91,0,2,1,21,1,False,False,False,False,False,False,False,False,False,True,False,True
31,1,4.4,107000,-5.2,1,5,66,0,3,3,38,0,6.4,5,2,63,2,2,0,9,0,True,False,False,False,False,False,True,False,False,False,False,False
35,2,2.2,84000,8.5,1,0,52,0,5,1,45,0,5.2,5,1,76,0,2,0,8,0,False,False,False,False,False,False,False,False,True,False,False,True
41,1,4.8,87000,7.4,1,5,19,1,1,2,47,0,7.9,5,0,78,1,3,0,4,0,False,False,False,False,False,False,False,True,False,False,True,False
29,2,4.6,174000,-11.8,0,0,19,0,2,2,33,0,4.9,1,2,41,0,4,0,22,0,False,False,False,False,True,False,False,False,False,False,False,True
23,0,2.6,62000,-6.1,0,4,9,1,2,3,47,0,6.8,5,0,80,2,4,0,22,0,False,False,False,False,False,False,False,False,True,False,True,False
25,5,4.2,228000,-6.1,0,2,33,1,2,2,60,0,6.5,4,0,79,1,5,0,12,0,True,False,False,False,False,False,False,True,False,False,False,False
37,1,1.9,108000,14.8,0,0,44,1,1,1,48,0,5.3,4,1,64,0,5,0,22,0,True,False,False,False,False,False,True,False,False,False,False,True
20,2,1.8,100000,-18.0,0,4,13,0,2,2,38,0,5.8,5,1,84,0,5,0,15,0,False,False,False,False,False,False,False,True,False,False,True,False
21,3,2.2,138000,0.1,0,0,31,0,3,1,59,0,6.7,3,1,76,0,1,1,7,0,False,False,True,False,False,False,False,False,False,False,False,True
55,3,2.3,127000,4.7,0,4,31,1,4,0,52,1,2.7,2,4,57,0,5,0,7,0,True,False,False,False,True,False,False,False,False,False,True,False
20,0,2.8,47000,-15.5,0,2,6,1,5,2,58,0,6.1,5,1,75,1,2,0,15,0,False,False,False,False,False,False,False,False,True,False,False,False
23,0,3.1,69000,1.0,1,4,17,1,1,2,44,0,6.8,2,1,48,0,5,0,24,1,True,False,False,True,False,False,False,False,False,False,False,False
34,0,5.5,61000,-3.0,0,4,4,1,3,2,34,0,4.3,1,2,66,0,4,0,22,0,True,False,False,False,False,False,False,False,True,False,True,False
26,0,4.5,52000,-11.5,0,3,50,1,5,1,35,0,6.6,1,0,55,0,2,0,19,0,False,False,False,False,False,True,False,False,False,False,False,False
37,0,2.6,64000,7.9,1,5,22,1,5,0,51,0,4.9,1,4,58,1,3,0,15,0,True,False,False,False,False,False,False,True,False,False,False,False
32,4,0.3,186000,-6.2,1,0,16,0,1,0,42,0,6.6,3,0,77,0,5,0,15,0,False,False,False,False,False,False,False,False,False,True,False,True
41,2,4.6,158000,16.8,0,2,78,1,1,2,43,0,3.2,1,2,59,0,1,0,15,0,False,False,False,False,False,False,False,False,False,True,False,False
32,0,2.5,51000,-5.1,0,5,45,1,2,1,47,0,2.4,5,2,98,0,1,0,3,0,True,False,True,False,False,False,False,False,False,False,True,False
44,1,0.9,97000,8.1,0,4,33,0,2,2,30,0,2.9,4,0,89,0,4,0,15,0,False,False,True,False,False,False,False,False,False,False,True,False
33,2,5.3,142000,-0.5,1,5,44,1,3,0,49,0,7.4,2,0,56,0,4,1,20,1,False,False,False,False,False,False,True,False,False,False,True,False
